status,concurrency,total_requests,successful_purchases,sold_out_responses,errors,throughput_requests_per_second,median_latency_ms,p99_latency_ms,seller_cpu_avg_pct,seller_cpu_peak_pct,seller_memory_peak_bytes,mysql_cpu_avg_pct,mysql_cpu_peak_pct,mysql_memory_peak_bytes,mysql_threads_connected_peak,select_1_probe_median_ms,select_1_probe_p99_ms,probe_errors
NOT EXECUTED,100,50000,,,,,,,,,,,,,,,,
NOT EXECUTED,500,50000,,,,,,,,,,,,,,,,
NOT EXECUTED,1000,50000,,,,,,,,,,,,,,,,
NOT EXECUTED,5000,50000,,,,,,,,,,,,,,,,
NOT EXECUTED,10000,50000,,,,,,,,,,,,,,,,
NOT EXECUTED,25000,50000,,,,,,,,,,,,,,,,
NOT EXECUTED,50000,50000,,,,,,,,,,,,,,,,
